,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Like
13,0.612,0.724,11,-6.131,1,0.0327,0.0344,0.000919,0.0876,0.907,98.048,audio_features,0praNEF55GE8iZca1tC8BM,spotify:track:0praNEF55GE8iZca1tC8BM,https://api.spotify.com/v1/tracks/0praNEF55GE8iZca1tC8BM,https://api.spotify.com/v1/audio-analysis/0praNEF55GE8iZca1tC8BM,221633,4,0
14,0.623,0.651,7,-3.853,0,0.0338,0.0105,0.156,0.103,0.427,133.003,audio_features,6wSySPqkbgLdpUzceYNfWe,spotify:track:6wSySPqkbgLdpUzceYNfWe,https://api.spotify.com/v1/tracks/6wSySPqkbgLdpUzceYNfWe,https://api.spotify.com/v1/audio-analysis/6wSySPqkbgLdpUzceYNfWe,199835,4,0
15,0.525,0.459,2,-14.749,1,0.156,0.838,0.0527,0.427,0.857,73.126,audio_features,0GAf0g1mxqwgAFgAjJgjZN,spotify:track:0GAf0g1mxqwgAFgAjJgjZN,https://api.spotify.com/v1/tracks/0GAf0g1mxqwgAFgAjJgjZN,https://api.spotify.com/v1/audio-analysis/0GAf0g1mxqwgAFgAjJgjZN,95613,4,0
16,0.577,0.748,11,-9.884,0,0.184,0.173,0.0,0.175,0.714,158.861,audio_features,6XnlH4GiQQ7jVheMUXufIN,spotify:track:6XnlH4GiQQ7jVheMUXufIN,https://api.spotify.com/v1/tracks/6XnlH4GiQQ7jVheMUXufIN,https://api.spotify.com/v1/audio-analysis/6XnlH4GiQQ7jVheMUXufIN,76347,4,0
17,0.702,0.0311,4,-22.867,1,0.05,0.818,0.0,0.117,0.389,145.784,audio_features,7JUTPkuppoKzK2DIHyjE4V,spotify:track:7JUTPkuppoKzK2DIHyjE4V,https://api.spotify.com/v1/tracks/7JUTPkuppoKzK2DIHyjE4V,https://api.spotify.com/v1/audio-analysis/7JUTPkuppoKzK2DIHyjE4V,110393,4,0
18,0.6,0.00447,1,-28.626,1,0.099,0.855,0.103,0.102,0.214,163.508,audio_features,5Am1NGevQ4J7eHkMHn3Yhb,spotify:track:5Am1NGevQ4J7eHkMHn3Yhb,https://api.spotify.com/v1/tracks/5Am1NGevQ4J7eHkMHn3Yhb,https://api.spotify.com/v1/audio-analysis/5Am1NGevQ4J7eHkMHn3Yhb,53264,4,0
19,0.513,0.878,4,-5.913,0,0.0547,0.339,0.255,0.147,0.578,173.21,audio_features,1H3bR7kQ1VBOb5pEJMiPdM,spotify:track:1H3bR7kQ1VBOb5pEJMiPdM,https://api.spotify.com/v1/tracks/1H3bR7kQ1VBOb5pEJMiPdM,https://api.spotify.com/v1/audio-analysis/1H3bR7kQ1VBOb5pEJMiPdM,209640,4,0
20,0.549,0.822,2,-7.447,0,0.0362,8.41e-06,0.0857,0.0944,0.52,144.952,audio_features,5ck1miitoRTdHXS9dvQ6qh,spotify:track:5ck1miitoRTdHXS9dvQ6qh,https://api.spotify.com/v1/tracks/5ck1miitoRTdHXS9dvQ6qh,https://api.spotify.com/v1/audio-analysis/5ck1miitoRTdHXS9dvQ6qh,171080,4,0
21,0.866,0.757,0,-6.483,1,0.0568,0.011,0.0296,0.11,0.922,150.036,audio_features,5fNoxNQ6Lc8Ke2MhxGsxDE,spotify:track:5fNoxNQ6Lc8Ke2MhxGsxDE,https://api.spotify.com/v1/tracks/5fNoxNQ6Lc8Ke2MhxGsxDE,https://api.spotify.com/v1/audio-analysis/5fNoxNQ6Lc8Ke2MhxGsxDE,184133,4,0
22,0.676,0.803,0,-5.145,1,0.271,0.165,0.0,0.0749,0.525,134.053,audio_features,2g0pDPygeHPq64iJYnfu4b,spotify:track:2g0pDPygeHPq64iJYnfu4b,https://api.spotify.com/v1/tracks/2g0pDPygeHPq64iJYnfu4b,https://api.spotify.com/v1/audio-analysis/2g0pDPygeHPq64iJYnfu4b,132187,4,0
