,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
63,0.592,0.649,6,-8.656,1,0.145,0.41,0.00504,0.13,0.103,83.015,audio_features,31ib8JLXrxNjQ9wdzYayyN,spotify:track:31ib8JLXrxNjQ9wdzYayyN,https://api.spotify.com/v1/tracks/31ib8JLXrxNjQ9wdzYayyN,https://api.spotify.com/v1/audio-analysis/31ib8JLXrxNjQ9wdzYayyN,187590,4
64,0.496,0.569,1,-8.076,1,0.465,0.494,0.0,0.111,0.219,149.145,audio_features,1k35QWggtlqXO6fui8n1PU,spotify:track:1k35QWggtlqXO6fui8n1PU,https://api.spotify.com/v1/tracks/1k35QWggtlqXO6fui8n1PU,https://api.spotify.com/v1/audio-analysis/1k35QWggtlqXO6fui8n1PU,191489,3
65,0.398,0.717,4,-4.651,1,0.0458,0.492,0.000172,0.127,0.172,139.804,audio_features,1h4F7xw4DlwCVDPt0bjQdM,spotify:track:1h4F7xw4DlwCVDPt0bjQdM,https://api.spotify.com/v1/tracks/1h4F7xw4DlwCVDPt0bjQdM,https://api.spotify.com/v1/audio-analysis/1h4F7xw4DlwCVDPt0bjQdM,224571,4
66,0.4,0.681,0,-5.931,1,0.218,0.0158,0.0,0.0627,0.0695,180.107,audio_features,20HB3FzjaKennmHRcpDvtz,spotify:track:20HB3FzjaKennmHRcpDvtz,https://api.spotify.com/v1/tracks/20HB3FzjaKennmHRcpDvtz,https://api.spotify.com/v1/audio-analysis/20HB3FzjaKennmHRcpDvtz,174743,4
67,0.719,0.387,10,-9.38,0,0.0643,0.891,0.0,0.114,0.17,135.064,audio_features,1i9ItiMY9JrFTnqkTlm0n0,spotify:track:1i9ItiMY9JrFTnqkTlm0n0,https://api.spotify.com/v1/tracks/1i9ItiMY9JrFTnqkTlm0n0,https://api.spotify.com/v1/audio-analysis/1i9ItiMY9JrFTnqkTlm0n0,234736,4
68,0.765,0.713,0,-4.969,1,0.0378,0.174,0.00734,0.207,0.177,128.007,audio_features,0ghq9ciZLPrFmlRCIUXgj0,spotify:track:0ghq9ciZLPrFmlRCIUXgj0,https://api.spotify.com/v1/tracks/0ghq9ciZLPrFmlRCIUXgj0,https://api.spotify.com/v1/audio-analysis/0ghq9ciZLPrFmlRCIUXgj0,195491,4
69,0.634,0.695,3,-8.615,0,0.17,0.378,0.0,0.415,0.377,147.649,audio_features,4dT1155sbuWZduYj0bgwKo,spotify:track:4dT1155sbuWZduYj0bgwKo,https://api.spotify.com/v1/tracks/4dT1155sbuWZduYj0bgwKo,https://api.spotify.com/v1/audio-analysis/4dT1155sbuWZduYj0bgwKo,172394,3
70,0.514,0.46,4,-9.271,1,0.399,0.812,0.0,0.171,0.371,100.156,audio_features,5WJdlwJT3HbEEjHuj7fJMK,spotify:track:5WJdlwJT3HbEEjHuj7fJMK,https://api.spotify.com/v1/tracks/5WJdlwJT3HbEEjHuj7fJMK,https://api.spotify.com/v1/audio-analysis/5WJdlwJT3HbEEjHuj7fJMK,144000,4
71,0.416,0.847,7,-3.542,1,0.0476,0.0045,0.0,0.106,0.117,120.049,audio_features,76GKbKyaTonMpyIa9mCXmX,spotify:track:76GKbKyaTonMpyIa9mCXmX,https://api.spotify.com/v1/tracks/76GKbKyaTonMpyIa9mCXmX,https://api.spotify.com/v1/audio-analysis/76GKbKyaTonMpyIa9mCXmX,235050,4
72,0.465,0.94,2,-3.154,0,0.0516,2.21e-05,0.0196,0.378,0.478,120.015,audio_features,2uUVCekFIUbrK4pXa2lWhp,spotify:track:2uUVCekFIUbrK4pXa2lWhp,https://api.spotify.com/v1/tracks/2uUVCekFIUbrK4pXa2lWhp,https://api.spotify.com/v1/audio-analysis/2uUVCekFIUbrK4pXa2lWhp,234373,4
